"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PDLIM2",23.5212411950899,1.77418590023929,0.0803613346370332,22.0776062051822,5.18850611328719e-108,8.97272122619309e-106
"AMIGO2",21.5157357528368,1.57245385645031,0.0712305495639151,22.075554183944,5.42946173094046e-108,9.302477765678e-106
"MEIS2",26.5901143869999,1.91603396991076,0.0868560491119567,22.0598794154338,7.67872692308926e-108,1.30355195398939e-105
"SULF1",23.8324872976195,1.8816068315186,0.0854756485486278,22.0133671223114,2.14458194015289e-107,3.60757674732627e-105
"COL4A3",42.9626194817254,1.87081405166002,0.0855107335076316,21.8781195637043,4.19798753963046e-106,6.99815868768667e-104
"PLPP3",98.6760960876914,2.43762298752998,0.111524627002156,21.857261961368,6.63038394123163e-106,1.09543414686205e-103
"PARVA",44.823662034552,1.46780768533978,0.067354775119077,21.7921844849877,2.75204690595772e-105,4.50653769449925e-103
"APBB2",26.2880702591392,1.64510167078892,0.0757266213097843,21.7242185421043,1.21129155240226e-104,1.96611744610977e-102
"MAP6",19.4971338513466,1.46951993941115,0.0676833671808241,21.7116848735548,1.59116664591962e-104,2.56025631444319e-102
"KLF2",74.789920076871,2.26981264512528,0.104921993703956,21.6333350615668,8.72423259747406e-104,1.39166551710052e-101
"MYO1E",31.0773746721514,1.89352153105721,0.0876387519112085,21.605984678737,1.57788462481124e-103,2.49548522200916e-101
"SMAD6",18.2272991718314,1.79291177593338,0.0834072593257561,21.495872067094,1.70168114953271e-102,2.66846677889435e-100
"PIGR",46.3127700822061,-2.82568926663582,0.132000271617685,-21.4066928196929,1.15740476506831e-101,1.7997157792289e-99
"CRHBP",80.725828917424,3.19215059354355,0.149525221128095,21.3485763101391,4.01999447783083e-101,6.19883148481514e-99
"DLC1",17.1429649076513,1.871422426574,0.087665136371717,21.347396513921,4.12275581818887e-101,6.30474988923692e-99
"PAX8",38.7458017651302,-2.5421929030464,0.119230662281675,-21.3216370218647,7.15127243757829e-101,1.08464873102417e-98
"PLXND1",28.4745603531983,1.53536592676964,0.0723330980893201,21.2263260848263,5.45650740877332e-100,8.20871651153996e-98
"CLDN5",28.4378521143647,1.59404612138636,0.0751201956044279,21.2199410366339,6.2502357240321e-100,9.3269646643137e-98
"CHRDL1",18.2511986225501,1.57464834018677,0.0743022459864736,21.1924729768388,1.12054708468439e-99,1.6587682604e-97
"DPP6",16.1170749666405,1.4746623301962,0.0695917105925397,21.1902009253712,1.17594442007068e-99,1.72695837690381e-97
"ST3GAL6",21.2790757083806,1.91553746446688,0.0904569879547065,21.1762242782838,1.58217227916732e-99,2.30523746879623e-97
"PARD6G",17.3525789624092,1.56814353507185,0.0742088284880152,21.13149563229,4.08404277637973e-99,5.90399433860395e-97
"KRT8",65.5011004734855,-2.37251507435005,0.112446650818824,-21.0990283576582,8.11872550773306e-99,1.16456509143483e-96
"VTI1A",28.6971526782277,1.60803877805986,0.0771005660488219,20.8563809640725,1.33391513298584e-96,1.89867427852077e-94
"KLK6",22.4427525533373,2.03612680942574,0.0977404565559391,20.831975633963,2.22107851857794e-96,3.13731579448597e-94
"RERG",30.5816819892941,1.75135417848515,0.0846746426596321,20.6833371063058,4.89357498218392e-95,6.85990238411601e-93
"RAMP3",27.9089901538642,1.89298708271271,0.091771143769125,20.6272582531501,1.56262302650057e-94,2.17404334453883e-92
"MUC1",61.9908301094487,-3.20957181923344,0.155953501155851,-20.580312692217,4.12015171029938e-94,5.68949904831191e-92
"NRGN",19.4984282816511,1.91265883787982,0.0930410473871991,20.5571507586336,6.64206160034507e-94,9.10405243353964e-92
"SYNE1",22.5265814897191,1.36002418063093,0.0662559275790597,20.52683028259,1.24004707910132e-93,1.68719346703609e-91
"TFCP2L1",30.1799302396748,-2.42698737913648,0.118350543140557,-20.506770097828,1.87328448924224e-93,2.53016468532397e-91
"PRKAR2B",19.0323968169312,1.7912658999188,0.0874219147472191,20.4898955267482,2.64961201498427e-93,3.55278411052674e-91
"EPB41L5",34.7533514037662,1.52912634394853,0.0750138400524341,20.3845896021278,2.29129951134742e-92,3.05023065884696e-90
"ACVRL1",19.9264713580873,1.30251611340902,0.0640204114563543,20.3453255575685,5.10718597994506e-92,6.7502406694931e-90
"PEA15",39.0604371600966,1.70267261370579,0.0837373473169975,20.3334911871536,6.50084209269515e-92,8.53131787824334e-90
"LRRC2",16.9768477531638,1.57093921986027,0.0773603424243454,20.3067769690469,1.12018236446437e-91,1.45970806141188e-89
"TRIB2",37.1517123310963,1.42359563816743,0.0701718608163835,20.2872721573182,1.66585332506444e-91,2.15559090398549e-89
"SCNN1A",42.4539529319772,-2.58774217083787,0.127865782807448,-20.2379566606551,4.53588628803108e-91,5.82861388011994e-89
"TMOD1",19.0545203234072,1.25103652860539,0.061995180128526,20.1795772834564,1.48006421217347e-90,1.88876608152124e-88
"KLF7",23.5700415599703,1.39734739195864,0.0693888634882091,20.1379201461642,3.4345902927202e-90,4.35299032715716e-88
"NOTCH4",20.1627374092548,1.36320163915485,0.0680841764654868,20.0222975428935,3.52104168323433e-89,4.43220104126314e-87
